Date,COINS Portfolio Value,COINS Portfolio % Daily Change,COINS Portfolio % Change YTD,BCOM Price Per Share,BCOM Price Per Share % Change,BCOM Price % Change YTD,BCOM  Value Compared,Spread: COINS - BCOM Portfolio Value
1/3/2023,"$1,184,967.73",,,$110.32,,,"$1,184,967.73",$0.00
1/4/2023,"$1,177,249.45",-0.65%,-0.65%,$108.56,-1.60%,-1.60%,"$1,166,063.24","$11,186.21"
1/5/2023,"$1,169,722.32",-0.64%,-1.29%,$107.36,-1.11%,-2.68%,"$1,153,173.82","$16,548.50"
1/6/2023,"$1,180,115.08",0.89%,-0.41%,$108.11,0.70%,-2.00%,"$1,161,229.71","$18,885.37"
1/9/2023,"$1,188,183.54",0.68%,0.27%,$109.24,1.05%,-0.98%,"$1,173,367.25","$14,816.29"
1/10/2023,"$1,185,404.51",-0.23%,0.04%,$108.65,-0.54%,-1.51%,"$1,167,029.95","$18,374.56"
1/11/2023,"$1,196,572.28",0.94%,0.98%,$109.67,0.94%,-0.59%,"$1,177,985.96","$18,586.32"
1/12/2023,"$1,207,690.84",0.93%,1.92%,$110.94,1.16%,0.56%,"$1,191,627.27","$16,063.57"
1/13/2023,"$1,218,536.53",0.90%,2.83%,$111.58,0.58%,1.14%,"$1,198,501.63","$20,034.90"
1/17/2023,"$1,223,457.61",0.40%,3.25%,$112.02,0.39%,1.54%,"$1,203,227.75","$20,229.86"
1/18/2023,"$1,209,857.32",-1.11%,2.10%,$111.59,-0.38%,1.15%,"$1,198,609.04","$11,248.28"
1/19/2023,"$1,218,661.83",0.73%,2.84%,$111.85,0.23%,1.39%,"$1,201,401.75","$17,260.08"
1/20/2023,"$1,222,861.10",0.34%,3.20%,$112.13,0.25%,1.64%,"$1,204,409.28","$18,451.82"
1/23/2023,"$1,221,507.47",-0.11%,3.08%,$112.52,0.35%,1.99%,"$1,208,598.34","$12,909.13"
1/24/2023,"$1,219,845.42",-0.14%,2.94%,$111.91,-0.54%,1.44%,"$1,202,046.22","$17,799.20"
1/25/2023,"$1,221,954.74",0.17%,3.12%,$111.74,-0.15%,1.29%,"$1,200,220.22","$21,734.52"
1/26/2023,"$1,226,079.26",0.34%,3.47%,$112.39,0.58%,1.88%,"$1,207,201.99","$18,877.27"
1/27/2023,"$1,219,487.50",-0.54%,2.91%,$111.61,-0.69%,1.17%,"$1,198,823.86","$20,663.64"
1/30/2023,"$1,273,506.00",4.43%,7.47%,$110.80,-0.73%,0.44%,"$1,190,123.50","$83,382.50"
